RegionID,SizeRank,RegionName,RegionType,StateName,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
102001,0,United States,country,,36505.939619036355,36438.0924251689,36673.91389249143,36630.661654486896,36409.259133921616,36174.601090201046,35944.79825782717,36201.11662574272,36025.5172352378,35829.51992767071,35896.06693619738,36035.933051154585,35802.84807178584,36344.044157925324,36647.55319372473,36518.8177408437,37047.97624807717,38967.43982325089,40189.869554121724,40741.54790078579,41105.5605799007,40418.470735977186,40849.168257287725,41724.64026607338,41396.60543762062,41163.68582901402,41494.970754396396,41677.26181062487,41415.3382994264,41515.400591136255,41601.83238480102,41704.21841623482,42008.39075234909,41681.1995325085,41676.16816218226,41376.1508766399,40522.55281378439,40826.14854557143,41202.49757206346,41060.92708599799,41840.076696444245,42534.37421744778,42967.29217659651,42694.29312604521,42882.073007497995,42803.28091532803,43548.3513227119,43853.15634397462,43575.861665385746,43051.73151826496,43349.600240724896,43192.664346577454,43336.66743440745,43416.21203525554,43106.5396906841,43228.99251101746,43471.81001475596,43698.749029664046,45013.338785893495,46862.3792719371,46934.50161921252,47246.828207037084,47610.79463668688,47294.98548506918,47400.47908775351,47212.73306739839,47654.73153266134,47509.17037759662,47418.92563648962,48005.83100323062,48363.52161875395,48738.15997376135,49058.15251082649,50540.602044254985,51321.683553998024,51699.651011673406,52479.072846972034,52611.99935678509,52680.74631528662,53020.59026466493,53604.9780048896,54675.74140308323,55013.74467019719,54182.34219517477,53402.322064447086,53235.05357670052,53032.0142172685,52723.51717884659,52587.447160778924,51564.71000729378,51541.07247582484,51048.61582848638,51133.510715355515,51673.22099631788,51946.20044260653,52339.75870800823,51895.260412291565,51500.41623007253,51747.96678051047,51383.735747055944,51219.414385874916,51008.84962109158,50514.21948437957,50476.06075139381,50801.17868039089,51185.68009059037,51585.92481614225,51908.17530612834,51989.665737619944,52994.02169556619,54982.27345432009,55646.33667098231,56020.78639306173,56993.781619198846,57271.52480341059,57722.022796504636,58375.330770466644,59601.46126632117,60083.07926989002,60837.264336523695,62975.28184117116,65792.66246485422,69447.20471448156,75812.86921945045,78659.61481215329,81681.38134533992,81504.5438839835,80319.6029491609,86222.10246076829,91609.06939362726,90695.18467449115,87342.88285255394,86605.08150820858,86296.48277449323,88337.36076573026,87161.47404057893,88203.54030032948,90807.24834879153,92174.7293204008,94306.02718233848,95705.39117521445,99122.97782174053,98022.08976222399,93439.93359388776,92876.70144422493,94108.50170122746,94870.64992413553,96743.38233043758,97646.2832257319,96712.3042383082,96234.64506010566,93685.60452885198,91666.14556688443,93646.87737026824,96607.95052227048,96105.6034974064
394913,1,"New York, NY",msa,NY,95037.35423886921,94666.13546302065,95095.3865966696,94930.36353546557,94387.40692324877,93684.64768919008,92941.30894786051,93275.13078473089,92614.51264954924,91851.25469143472,91695.11094735765,91668.96913216729,91425.96345407405,92451.77854989842,92935.97758479409,92369.49054036578,93269.93572933992,97342.96624826796,99914.72329957089,101040.77215554687,101800.61788262316,100158.02963735808,100994.20428444716,102744.11783331711,103960.17479652059,103464.05465676759,104414.27665932718,105088.6684901425,104699.8125686476,104951.3550377211,104976.13289982211,105000.36108620594,105571.4018555897,104883.43432782435,104922.62179115153,104151.17427103825,97825.63545276916,98172.10441460159,98730.40736651316,98151.56884636698,99684.79426908793,101037.07229675693,101847.72573592064,101191.07746971668,101672.134335908,101642.52589409679,103385.23758147958,104090.26578684596,105654.9380765465,104323.88931522035,104759.67576596947,104302.49642990774,104559.78049181434,104687.79117579582,103985.80285198786,104094.1322129107,104373.77880638733,104630.1585253737,107341.39972851674,111388.26525537034,112279.55720104054,113047.73782375347,113859.96480049023,113324.1386100671,113661.54161068406,113315.84585169311,114225.26910922704,113878.03139841635,113634.42117386256,114821.72894715512,115425.34382287071,116084.75037084291,116313.28768849802,119279.06349932811,120731.48472525131,121408.72103361423,123117.24948673243,123524.47308445047,123739.84145389938,124448.6630669668,125622.93758774735,127766.44963434842,128333.320940595,126363.06585661306,122684.0243903047,122200.40759667139,121718.45999216274,121116.51911370318,120816.94762168123,118676.12101939281,118503.65043458063,117288.07988808391,117135.94527762539,117890.03403338352,118178.62696721767,118785.3653394891,118276.23400113657,117375.33125894588,117838.74442803308,117091.1340560411,116866.94453609925,116342.90706353447,114877.85211943391,114049.00167504842,114037.24691246057,114358.78128850913,114909.08193682239,115539.71898311435,116649.25953764922,118632.52080133207,122385.7267082596,123415.46917845146,123679.71991835895,124864.00839335463,124717.33790881072,124997.46366606017,125873.00466065793,127969.489304056,128711.6379004441,129854.24561073487,131980.1210173123,136349.19812500308,142237.4973813493,153044.87317591714,157657.4757791076,162773.61803122386,162450.48345648608,160339.05376379797,170776.20647937234,180240.88895180408,178459.40320550007,172433.15693979655,169152.95503244104,168605.6462128253,172364.88236351535,170365.3346504952,172585.73340054645,177535.25360632178,180212.00877451798,184245.47540063146,186905.5760411082,193337.758027459,191662.44335156496,183923.16642345017,180020.65480140227,182990.17536499305,185139.024588602,189355.28917231344,191639.7010945377,190497.99370086446,190290.41836702582,186428.98252463675,183329.3988871989,187736.39244802267,193866.01431296775,193061.899699215
753899,2,"Los Angeles, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,98310.56853877341,97467.81654870593,97924.63011659675,98215.8319722812,97380.12361979592,97534.70956476677,97638.50138920345,98025.86100739398,99333.58876542789,99231.82928300575,99988.72020057961,99736.97060829362,99419.6374736417,100121.62056975551,100745.40263619531,99890.15158204193,101547.6585373371,103110.74306556457,103852.58798681301,102330.71630308822,101638.20416782625,100127.05293320154,100757.32673499324,100303.7028749717,100255.12249075931,100010.2220250353,102611.57322212281,103515.18070884554,104550.50478175009,105121.28901529174,104024.00967145839,103350.5735011652,102387.32561746835,101639.55349763091,104248.43173524423,108692.10151232607,108724.78965568558,111177.52332491138,114135.5880477147,114490.5992017407,115423.86257967296,115278.61515750736,116170.27234668104,115234.63625072829,114396.90568251637,115982.61643189365,117066.67362616211,118335.87849007748,119267.53822199756,124137.66056135544,126955.32064954197,128395.03881846197,130728.06851779485,131256.48197498854,131501.03584904195,132886.15706589137,135313.91804613764,139414.20484869048,141017.71626352577,138766.59345944016,137470.5601170305,135066.03410417025,132287.15124532318,129887.53494893266,128592.47682792215,125256.16203302261,125002.1370058571,124031.0274393681,125079.63792857662,127300.44451664823,128537.05982168773,129884.22259122875,128769.91409296758,127190.89669328033,127173.76917198357,125678.99978727767,124673.27989746022,123377.8792638527,121665.47843761471,121644.44833969107,123026.32564226743,124633.21070715068,126301.5908124408,127684.77119103754,127694.56221560999,129611.51921088915,133609.16102656894,134530.24851587153,134970.76321270523,137209.70965339444,137834.78053425485,139047.56359972982,141027.7349907933,144494.36381054434,145969.0838226819,148166.83149663007,154262.18494883808,161630.81385756942,171061.99451259934,187330.56554971635,194016.088524194,200577.61085857663,199058.89306747844,195083.01385636994,209751.33454188972,223075.79446675547,220418.74134129423,211607.5069067439,208822.9503273322,206013.62355087526,208807.05884823698,204714.1096335339,207123.358302649,214200.27686957922,219242.47184568958,226926.40416415792,232944.65487371126,244062.90507360047,242859.79941664278,231922.80029259608,228055.89086935984,229968.9183650971,230598.11277563544,234923.11727391364,237745.16106484644,235922.85629475256,235635.93158971655,230059.80542396448,225587.8650879731,231670.85073830996,240282.19290185274,239447.65169440338
394463,3,"Chicago, IL",msa,IL,45819.90674358754,45418.83245390274,45420.01230460701,45111.20680686825,44630.5933093469,44230.32314028118,43896.85083540777,44073.1464036901,43770.864064798574,43391.821240124606,43226.64542421325,43173.18528493315,42162.94280843052,42783.63009443696,43187.4523238198,43221.2389207689,43834.288945646804,45915.831673893095,47251.3835389839,47975.175722393884,48503.052920248374,48009.88421698672,48685.01684038356,49830.75855589911,49320.22863866805,49231.865824338514,49702.78016232918,49990.97911894309,49785.12036392643,49931.75416163651,50070.502459780764,50208.22374457889,50535.422310379945,50218.13948267826,50217.90744318,49886.34352559476,49413.81396586663,49637.005607633146,49986.18821590484,49779.23570788041,50590.92202524658,51281.64971132124,51715.5885910251,51380.9185619373,51529.99416895736,51464.03583083584,52284.478519933684,52661.036313458135,52538.700448183554,52046.9635016356,52366.6084499529,52221.252814373765,52362.01209716391,52433.95131831245,52068.37234134759,52145.06604313409,52343.92315391622,52571.61525112976,53922.238090638784,55878.20243884543,55353.01993842513,55765.69371812051,56264.683480178384,55986.21802178706,56105.98063098168,55781.32853000612,56097.967236353834,55803.213210112604,55675.65046148487,56270.982096070475,56670.76070526562,57092.99818016683,57365.31907550872,58942.899296542855,59822.33890947256,60236.492619665056,60999.550333297135,60970.74496566541,60811.31705347245,60903.70115651994,61280.26594257262,62220.21203030402,62471.802760106075,61626.27466925459,61131.59948753458,61021.9374390467,60846.86778500179,60539.8564820539,60339.94313828436,59239.04174566941,59044.43657622674,58372.550314965374,58229.01611422494,58558.81366697049,58640.6267850525,58898.77520567733,58584.448923176424,58235.33911933769,58507.09876657196,58114.329264254804,57843.88649557002,57466.1725307503,56773.68412457293,56530.09489465255,56703.195592734846,57017.90691068743,57399.74544834371,57722.86071736978,57332.954083058205,58340.18033315777,60259.89798184013,60860.129374878794,61060.03581126393,61732.21003175786,61754.28389354747,61937.85735408664,62263.668929460524,63079.428583531546,63228.130318317904,63693.43838560337,65574.11588070789,68024.10251737098,71254.74798238192,76803.0039808243,79038.62591982381,81316.77539205611,80831.84439339506,79590.032720318,84435.27180495174,88904.45429778301,88118.97975297424,85332.31387443979,84047.89397534495,83920.9395279979,85861.51222542822,85115.18033498137,86276.36197261476,88827.85342421543,90351.56981094599,92549.06099401257,94026.61767920334,97206.0231852002,96363.76369540009,92433.4545540416,,,,,,,,,,,,
394514,4,"Dallas, TX",msa,TX,,,,,,,,,,,,,38166.989222206386,38705.805598441526,39030.31649397122,38918.87727539122,39394.00199075432,41160.167189065716,42335.74696805828,42878.820275547434,43236.244945487975,42652.75685095476,43126.47452147103,44025.09090952022,43445.069797126416,43360.4954841978,43772.86722176336,43995.04799067192,43796.363875959745,43969.50227322313,44188.642872885925,44435.84226522575,44860.61547836656,44697.21659748584,44869.50092087056,44762.115350940585,43357.75280215684,43833.856223411414,44374.05652643625,44385.20898367871,45263.726012825224,46105.27776677227,46749.72321006672,46711.28304731004,47110.84660723731,47238.40865595352,48183.5711506124,48700.17128499872,49048.07137890404,48775.07490541596,49308.77159154262,49413.20659856406,49796.25410198578,50106.4575452799,50008.51851704886,50329.115053762034,50789.057093362135,51220.84186343086,52797.99074267952,54902.78661948734,54732.860690640264,55228.78394457245,55800.982185274894,55681.03964286745,56001.40662294095,55991.33460701691,56580.630948037106,56531.8505785323,56543.618993159354,57280.86520646807,57792.47064224517,58343.376366323624,58061.850272497206,59796.517606834816,60751.33528564463,61258.797772005855,62181.45767879725,62375.88622384111,62454.86801836641,62771.92195403584,63329.13147946172,64409.53641657912,64719.01444477662,63826.52630308777,63877.687523068154,63689.16016767432,63419.09461356235,62980.11754265002,62722.129580798464,61525.246574049044,61400.88136324297,60805.55718846348,60862.0610530803,61410.40924445577,61677.23865799604,62077.80569416274,61693.48998044599,61327.01712552565,61602.072836653635,61138.65292105971,60835.07226801452,60505.36674757662,59954.677638386886,59914.62102937646,60243.879690721566,60644.39234319838,61084.53001033469,61471.32980045424,60574.64600516385,61726.368128704125,63950.80523499673,64845.374920417555,65505.71582278864,66770.9438746105,67298.54945796984,68003.23408580683,68969.79511698849,70589.1625607987,71465.8791544065,72643.82224394668,74170.08247726157,77827.88267190596,82463.03116850437,90072.23392182896,93842.52417780801,97765.42005632777,97929.87380107296,96696.76980156412,103167.04398289254,108946.87134285134,107723.79607273848,103773.72838233256,100882.33302805971,100205.75592938243,102071.93976300395,100402.85208687242,101199.58418892993,103722.74176480889,104982.62818001607,107074.84134791796,108393.1468679209,111816.34023889575,110449.86518233053,105376.13539767505,105514.4664341912,106756.3681946234,107480.06872168172,109263.36294661347,109877.03704661419,108569.11894150246,107784.8312047172,104889.57072536423,102717.83742267442,104604.14429409403,107476.66452636123,106631.88401625575
394692,5,"Houston, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,41547.133590712256,41514.44454955602,42011.11870188413,42355.5707917174,42275.22684999112,42525.359196880745,42812.00177963292,43150.311133102245,43678.6213433733,43611.654457629156,43856.24175603383,43818.80002590253,43823.8428246826,44347.33111077947,44936.261920290184,44972.090647509416,45866.32439184945,46670.54279424842,47209.94400307822,47047.65394876716,47280.9171392237,47224.44156350237,47966.11306295142,48293.39261448534,49875.00495570799,49393.75968461851,49689.16563665657,49525.559513817425,49649.20824626834,49707.84527263362,49378.17166226962,49453.43771292899,49663.30612464819,49855.30611816869,51121.14484074313,52871.09172156224,53207.730233723334,53390.93678062785,53649.04672165652,53287.45550511615,53342.63496541704,53110.76929630315,53446.34927343803,53240.60287623924,53080.11992712036,53584.628545188585,53877.26430438108,54190.15797791873,53728.08253501078,55007.98785518329,55635.725128003374,55924.355964282,56639.03528295184,56781.09286825576,56842.17681732155,57129.92367260689,57642.19386129305,58640.30583712547,58975.32992878843,58227.665822662995,52220.10944192595,52024.67392054098,51776.314242048575,51414.148913368226,51233.237108713205,50226.54723991367,50152.60651312792,49646.64710094997,49706.48368445283,50172.080400326304,50382.9021555461,50681.07579853446,51080.51207608422,50634.610139225784,50758.659350912814,50307.077707995646,50041.39869241178,49782.448843790735,49310.14794451261,49237.74185442606,49415.48804987163,49622.31792630686,49860.02764666339,50048.75529185894,52479.42537755769,53304.83556543458,55029.03737512124,55575.633578724075,55897.61495867267,56764.01981374247,57035.7672522528,57492.81605024614,58178.61369512229,59424.57867504817,60033.705148512774,60866.39308751185,59213.08721799748,61839.179766312474,65228.80409508925,71006.18774777117,73656.14167069399,76472.78345349949,76524.77675143532,75687.63271536928,81284.693954059,86327.89858778464,85577.91316462519,82451.91232426012,82416.9121878191,81914.73755396967,83500.36891557326,82127.96771180234,82780.14640541958,84907.80501574023,85979.01532228662,87738.33131834937,88861.44246809694,91674.617456115,90517.26411743669,86289.26655725372,82040.32738140013,83064.87565441776,83663.09569255738,85201.42309861515,85817.28404978427,84853.73612102837,84324.42616651992,82008.69991395077,80286.2993505427,81830.25429872736,84199.70457888827,83569.10718181137
395209,6,"Washington, DC",msa,VA,63902.89324402512,63860.92085075786,64440.78868433175,64540.07373779164,64229.36486353441,63911.76405137132,63534.97178737521,64219.626240920035,64050.99533452821,63866.49828841368,64174.20994511965,64518.77267898637,65891.03140284531,66990.64715271136,67580.850770457,67260.38839472769,68226.9388107136,72069.75866255147,74501.93197985088,75555.50789308816,76267.1984545332,74820.20631430484,75735.62174307385,77533.80423756348,79821.40283895428,79271.74257564776,79871.98112060224,80212.42803442277,79510.83063580428,79507.28055181011,79361.53937191269,79291.39629511289,79726.73795492617,79006.24369572428,78925.14616396088,78126.77804981677,76903.13101356037,77318.19497704897,77903.8645782975,77347.81557791056,78523.7359509195,79515.65746704102,80058.55219242224,79248.60371529222,79368.75101876681,78997.34386004048,80290.05099458343,80702.64692999746,80582.09328895717,79352.14404577097,79705.25953286361,79100.48794450774,79063.51215996472,78904.78323821173,78087.48735933095,78089.4059190371,78330.76915921542,78622.6712115584,81051.68750667691,84535.50449289795,84373.11590575136,84896.38088730986,85453.2816841363,84655.68909228993,84553.65169177565,83846.49830223204,84304.30936742644,83731.78517671865,83370.93575468755,84307.7523242605,84821.70407051017,85375.69378422745,86104.73850859837,88685.03007238658,89911.22624451872,90364.24479636093,91561.29793071222,91576.43518421991,91486.19949244898,91884.25107221451,92768.83379500169,94595.89997434162,95109.22074947204,93505.96788978398,92216.76971547924,91775.27069106617,91357.68037661837,90835.82148390048,90571.24021685949,88642.81216339131,88443.24527436074,87433.23583391611,87480.81335479877,88322.46388374784,88675.024078918,89280.55283895708,88401.06250620262,87714.43672389793,88149.55303603216,87490.30631219105,87155.65120705265,86678.48147011963,85666.04985439772,85460.75245507501,85896.97793296028,86458.42710140755,87007.95838063648,87399.37621362277,86987.68708472756,88519.09619327955,91802.55600347278,92803.46918121136,93178.70637587312,94329.76997270848,94051.21798739354,94062.43158178226,94467.55643976171,95908.56358051999,96064.94163929041,96734.58676124601,100926.16163915998,105015.72816871361,110528.68172062626,120357.59127415564,124409.93193883059,128397.7337135175,127224.19908586444,124495.48959630389,133116.05790490692,141191.86282553483,139708.65065776042,134644.94712094794,133800.5409750316,133576.66783195751,136810.03193904614,134967.63197096557,136575.2258754832,140789.03661837074,143095.98176178706,146495.4662925781,148576.45334728266,153867.14006477207,151998.14978545246,144774.51385768715,143090.0837474529,145050.2906388074,146385.4381229555,149605.38122247538,151329.12211871313,150061.33361504096,149382.80633880553,145387.38659157863,142226.5807214808,145649.9080653895,150739.78054025056,150179.15621511533
394974,7,"Philadelphia, PA",msa,PA,47418.57476454524,47220.68508465184,47425.933658374044,47312.235811640625,46937.27410838359,46488.1014869899,46011.73188969241,46116.5224217058,45693.11520515973,45215.90475592208,45074.892515023625,45056.20880090951,48254.36807456021,48765.91205826617,48992.44630841649,48703.37859579727,49191.88423697479,51268.07760028463,52480.53654274709,52897.88443217002,53119.94275434738,52171.19374117085,52566.688761364916,53497.14246245208,49458.019586604016,49071.39614321883,49304.650606232375,49359.51506874355,48959.49548009712,48961.809758959695,48945.362436489995,48929.00710085791,49131.85849167124,48631.64778690159,48484.17692648385,48034.800569401916,46284.79590941,46540.19367049761,46885.268284708945,46641.32722846243,47406.211342472845,48064.381784118756,48482.984841422054,48151.9576406001,48317.6131254162,48131.642795797416,48799.205422206134,49006.515227893215,49624.95374899214,48983.97303363717,49204.01111558783,48936.51778366016,49016.834018426285,49052.26152792629,48713.20870992891,48857.404975024605,49113.107594159796,49350.465849343855,50703.38108633963,52632.86709982503,51524.051368014676,51729.49698632012,51970.867006464374,51549.6531288322,51623.47197361891,51402.34473475563,51805.67004625489,51562.91535672504,51388.17432245278,51937.842929010534,52285.72963352861,52645.96610006085,55777.35087438312,57279.740417555404,58057.02266691685,58389.73766072644,59078.083208195945,59043.99548171066,58921.6752510001,59124.3218251345,59633.32641334831,60705.595920550186,61055.562954520225,60206.594543991414,61301.63303259108,61150.608486003395,60970.60666261584,60664.135127070454,60507.377897567414,59468.26756817911,59449.07138545213,58942.28774507147,59007.481292492186,59522.977089369866,59806.63296276627,60202.82008248057,56153.8775255518,55829.27173439691,56219.42632024913,56005.33506338832,55938.7284723091,55733.80719613065,55165.217177895785,55031.85802654596,55297.51226263695,55692.39536990367,56192.50625348872,56661.73369792934,56579.67603823646,57654.32873183726,59689.0326737137,60304.87697746157,60538.145733284575,61300.70035619688,61275.7102046439,61379.39905978902,61591.501554169714,62387.04413314725,62467.44030055144,62930.518994486,64576.23678690446,67200.93719521031,70650.11241700471,76667.39941724007,79315.67570113557,82091.63839479738,81795.27978591828,80562.72208131455,86183.71089188088,91489.18326561607,90899.81855193543,87981.19178265237,87953.20317852871,87891.92546437302,90126.06451711331,89254.1214084901,90609.25883990513,93456.00088074832,95132.54014685495,97535.41180044044,99210.7483085784,102820.53396155835,101932.93892661006,97591.12203201548,95081.15351566346,96507.80986290786,97482.12029138205,99592.79691358487,100671.34476923627,99831.22401271937,99411.31809427588,96969.47429856722,95086.64506093269,97277.85782593912,100437.50364926722,100058.85970702973
394856,8,"Miami, FL",msa,FL,38231.88622493926,38200.48103638002,38397.83304783814,38302.49458172081,38070.19373634724,37915.58794209558,37793.625397196316,38164.55766903957,38118.1393389412,38051.175095808794,38277.114143269784,38632.84912514925,38446.70442519167,39316.64824711616,39978.18688235749,40176.86130965491,41035.587469075595,43266.57828240208,44829.52486457292,45706.512390472475,46411.265627498826,45997.38552559884,46742.29401401698,47972.335816362465,48107.8080441384,48149.87326848306,48798.54760685788,49284.70508725258,49282.19706231239,49632.7061727185,49969.30470389863,50315.39077793495,50901.68148052799,50782.42871551518,51030.15390176343,50937.81749545511,50467.6806572649,50999.438619934364,51584.14386454478,51556.38970192287,52607.220836056724,53567.27474192538,54246.12519975037,54096.22523157377,54493.719226375455,54571.510026868506,55629.03118632393,56108.264939130204,56233.0256467543,55655.83448594214,56156.089511327154,56138.38783331222,56475.77405104129,56709.71366705697,56506.479839820364,56816.0079096118,57254.408893128086,57681.69817536952,59377.19544490055,61630.599090453834,61584.98743578547,61976.59549967136,62534.463680682595,62233.1767635713,62401.45851831516,62208.046435072676,62817.779394536294,62732.563371216835,62687.44167593031,63464.54779458036,63962.204547158195,64528.47895840437,65291.913629580136,67130.66832402915,68006.44631741384,68407.69489938447,69373.37545218167,69597.75993892254,69766.450617619,70248.63791701863,71014.58816997375,72428.58585530512,72987.3852395033,72125.446202107,71638.80766209868,71407.60501409588,71012.98771295477,70460.87793774258,70086.97909910617,68666.67221970294,68536.64502915813,67895.2085827416,68015.0212791576,68708.52215789171,69115.68924427316,69701.11660242671,69745.8644138665,69393.53660424988,69757.33411782878,69235.17554235704,68891.44305652828,68493.90466307134,67798.7880719679,67701.39375100273,68014.51646395613,68386.68360154628,68817.82019883096,69197.95043072883,68689.10570165941,69856.62186889624,72190.19601381749,72909.77070826286,73344.53239989164,74587.76996598723,75138.56998842799,76024.97233606233,77237.54894007818,79126.17471288519,80105.70123041852,81422.10870744266,83476.66448040398,87526.95857991441,92762.93007341631,101523.94049371872,105985.17316853635,110720.1890029996,111443.88643993973,110835.08722382972,119361.59703762557,127126.27772304414,126559.25979909723,122781.98078332064,123126.12221419862,123059.41180164645,125997.28537788591,124508.36756645264,126076.34247529927,129891.80402519864,132110.32548185866,135412.53607954513,137779.13173203354,142883.51628805563,142009.04829321397,136288.67965622243,,,,,,,,,,,,
394347,9,"Atlanta, GA",msa,GA,28189.687764884573,28033.289141940866,28223.83468318715,28195.92495185265,28033.6401383532,27867.6323854688,27721.195438794093,27941.22890406339,27803.997017094058,27622.67870164833,27677.614560699676,27799.93586132155,27923.048412302385,28411.771088661244,28790.836173431395,28887.65803107043,29584.693189244288,31436.5556742034,32732.49999570098,33443.65632916261,33953.25955950337,33552.370655535226,34102.791793906785,35081.865730537495,36476.60754874463,36482.01314050498,36963.570795380496,37318.88859191185,37256.854440857285,37474.44576715954,37646.71391834737,37820.69861020554,38174.11239703266,37979.87237657487,38084.53170788372,37906.021302803034,36606.43662648436,36912.83483209546,37291.191623734514,37203.86312896612,37962.71949219973,38645.68608423611,39107.0516429076,38911.197743929435,39135.707834912624,39092.08953076787,39824.9635944424,40167.71099374982,40006.835292120835,39610.43646376492,39973.89497494947,39931.51848440629,40153.94595743117,40282.17194518834,40005.630846126776,40114.424847213384,40363.03061425508,40633.08364140763,41965.399147334705,43829.595177639996,44003.11911283228,44389.58606512075,44811.833772997765,44573.54843872569,44722.22355692318,44570.331471615515,45049.14989955413,44966.746578362945,44944.935058779905,45561.17582519411,46000.324360603154,46517.25100691526,47300.41878052305,48897.17697390903,49764.07521289798,50204.75476999987,51027.14978834841,51212.93735150059,51358.96921110756,51774.15003327654,52471.39072147349,53675.10140456079,54180.42274064986,53537.259766031595,53019.63195299777,52929.81669667449,52742.48608930646,52422.9454858162,52286.22882785148,51250.08385283348,51216.84493623408,50723.11682261409,50823.841564947455,51368.52248447695,51649.148393911004,52081.44093030984,52108.18836633127,51781.92403756259,52048.08461624207,51652.31693846255,51423.69803495518,51175.15867619956,50679.921765362684,50666.46943737835,51000.75845048984,51424.005477411025,51880.593386399545,52289.136958457704,51870.97891702131,53020.49447042797,55185.23761055854,55988.9288500573,56488.70505999478,57599.79894869329,58027.129103142375,58696.61147575443,59682.29973834102,61372.07152578506,62340.230999001215,63601.334974724115,66678.31607844369,70123.02875807238,74400.83677365315,81495.6835064066,84777.96691722676,88189.34039253135,88124.58696960755,86946.3793735601,93432.7482928172,99289.84433247587,98243.79090673548,94498.32127829472,93749.93054030636,93336.0011139984,95473.14857925563,94052.38827140565,95056.38779281348,97765.55046625536,99255.20522121011,101577.24432589712,103155.71374866577,106904.98335483017,105787.21650456316,100908.2818842971,100985.86768966459,102335.34115349114,103130.48758785891,105097.14237214197,105971.20891584418,104871.27465471788,104266.15273681874,101430.73984618051,99110.51220450929,100964.25965015027,103781.99908135361,102841.38303446451
